textId,sourceType,studentId,text,signalType,confidence,severity,requiresReview
TXT-000001,mood_checkin,STU-2026-0001,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.801,low,False
TXT-000002,mood_checkin,STU-2026-0001,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.909,low,False
TXT-000003,mood_checkin,STU-2026-0001,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.831,low,False
TXT-000004,mood_checkin,STU-2026-0001,My heart starts pounding and my hands shake uncontrollably whenever the teacher calls on students.,anxiety,0.812,low,False
TXT-000005,mood_checkin,STU-2026-0001,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.906,low,False
TXT-000006,mood_checkin,STU-2026-0001,Regular school day. Completed notes in English and started the math homework.,neutral,0.84,low,False
TXT-000007,mood_checkin,STU-2026-0001,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.824,low,False
TXT-000008,mood_checkin,STU-2026-0001,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.815,low,False
TXT-000009,mood_checkin,STU-2026-0001,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.819,low,False
TXT-000010,mood_checkin,STU-2026-0001,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.937,low,False
TXT-000011,mood_checkin,STU-2026-0001,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.864,low,False
TXT-000012,mood_checkin,STU-2026-0001,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.941,low,False
TXT-000013,mood_checkin,STU-2026-0001,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.892,low,False
TXT-000014,mood_checkin,STU-2026-0001,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.892,low,False
TXT-000015,mood_checkin,STU-2026-0001,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.912,low,False
TXT-000016,mood_checkin,STU-2026-0001,Scored well on the math quiz! Hard work is finally paying off.,positive,0.81,low,False
TXT-000017,mood_checkin,STU-2026-0001,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.937,low,False
TXT-000018,mood_checkin,STU-2026-0001,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.838,low,False
TXT-000019,mood_checkin,STU-2026-0001,Scored well on the math quiz! Hard work is finally paying off.,positive,0.898,low,False
TXT-000020,mood_checkin,STU-2026-0001,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.955,low,False
TXT-000021,mood_checkin,STU-2026-0001,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.878,low,False
TXT-000022,mood_checkin,STU-2026-0001,Classes went as scheduled. Need to finish history assignment tonight.,neutral,0.71,low,False
TXT-000023,mood_checkin,STU-2026-0001,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.93,low,False
TXT-000024,mood_checkin,STU-2026-0001,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",neutral,0.804,low,False
TXT-000025,mood_checkin,STU-2026-0001,"Standard school day, revised chapter 4 during the study break.",neutral,0.933,low,False
TXT-000026,mood_checkin,STU-2026-0001,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.885,low,False
TXT-000027,mood_checkin,STU-2026-0001,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.922,low,False
