reportId,reporterStudentId,isAnonymous,reportType,description,locationDescription,status,createdAt,schoolId
REP-0001,STU-2026-0110,True,other,"Everything feels pointless lately, I can barely get out of bed in the morning.",Behind Sports Complex,under_review,2025-08-26,SCH-001
REP-0002,STU-2026-0490,True,physical_threat,Two seniors were trying to pick a fight with me outside the gymnasium.,Back Gate / Bus Parking Bay,under_review,2026-01-28,SCH-001
REP-0003,STU-2026-0397,True,bullying,Persistent teasing and name-calling by seniors during assembly lineup.,Unmonitored Cafeteria Corner,under_review,2026-04-07,SCH-001
REP-0004,STU-2026-0210,True,physical_threat,A student pushed me hard against the lockers in the hallway and told me to watch my back.,Unmonitored Cafeteria Corner,under_review,2026-04-10,SCH-001
REP-0005,STU-2026-0496,False,bullying,Persistent teasing and name-calling by seniors during assembly lineup.,Behind Sports Complex,resolved,2026-04-20,SCH-001
REP-0006,STU-2026-0397,True,bullying,Someone wrote awful rumors about me on the bathroom wall.,Behind Sports Complex,resolved,2025-11-19,SCH-001
REP-0007,STU-2026-0253,True,bullying,"Every time I answer a question in English class, three students mock the way I speak.",Unmonitored Cafeteria Corner,under_review,2025-08-28,SCH-001
REP-0008,STU-2026-0358,True,physical_threat,I was shoved down near the bleachers during recess and threatened not to report it.,Back Gate / Bus Parking Bay,under_review,2026-03-25,SCH-001
REP-0009,STU-2026-0302,False,other,"I sit alone every single day in the back row, nobody even says hello.",Unmonitored Cafeteria Corner,new,2026-02-24,SCH-001
REP-0010,STU-2026-0378,True,other,"I feel so exhausted mentally and physically, I just want to disappear for a while.",Behind Sports Complex,under_review,2025-12-09,SCH-001
REP-0011,STU-2026-0497,True,other,I feel completely overwhelmed by everything right now and I don't know what to do.,Unmonitored Cafeteria Corner,new,2025-09-09,SCH-001
REP-0012,STU-2026-0407,True,bullying,They keep hiding my school bag and mocking my accent during lunch break.,East Stairwell - Block B,resolved,2025-10-23,SCH-001
REP-0013,STU-2026-0251,True,bullying,Someone wrote awful rumors about me on the bathroom wall.,Back Gate / Bus Parking Bay,under_review,2025-12-29,SCH-001
REP-0014,STU-2026-0343,True,physical_threat,Someone cornered me near the staircase and aggressively demanded my lunch money.,Unmonitored Cafeteria Corner,under_review,2025-08-27,SCH-001
REP-0015,STU-2026-0588,True,physical_threat,I was shoved down near the bleachers during recess and threatened not to report it.,Behind Sports Complex,resolved,2025-11-26,SCH-001
